BbF,BjF,BkF,Carbazole,DBahP
ENSDARG00000058771,ENSDARG00000103199,ENSDARG00000097157,,ENSDARG00000036826
ENSDARG00000059001,ENSDARG00000103456,ENSDARG00000097491,,ENSDARG00000036998
ENSDARG00000060148,ENSDARG00000104068,ENSDARG00000098058,,ENSDARG00000037813
ENSDARG00000060309,ENSDARG00000104292,ENSDARG00000098315,,ENSDARG00000038655
ENSDARG00000060551,ENSDARG00000104973,ENSDARG00000098589,,ENSDARG00000039901
ENSDARG00000060865,ENSDARG00000105411,ENSDARG00000098746,,ENSDARG00000042114
ENSDARG00000061248,,ENSDARG00000099702,,ENSDARG00000042123
ENSDARG00000061481,,ENSDARG00000100265,,ENSDARG00000042492
ENSDARG00000061634,,ENSDARG00000101012,,ENSDARG00000042518
ENSDARG00000061635,,ENSDARG00000101195,,ENSDARG00000043243
ENSDARG00000061896,,ENSDARG00000101364,,ENSDARG00000043553
ENSDARG00000061992,,ENSDARG00000101789,,ENSDARG00000043627
ENSDARG00000062248,,ENSDARG00000102558,,ENSDARG00000043646
ENSDARG00000062974,,ENSDARG00000103199,,ENSDARG00000043757
ENSDARG00000063361,,ENSDARG00000103456,,ENSDARG00000045094
ENSDARG00000063594,,ENSDARG00000103981,,ENSDARG00000045768
ENSDARG00000068934,,ENSDARG00000104068,,ENSDARG00000046079
ENSDARG00000070214,,ENSDARG00000104292,,ENSDARG00000046150
ENSDARG00000071567,,ENSDARG00000105863,,ENSDARG00000052091
ENSDARG00000073912,,,,ENSDARG00000052618
ENSDARG00000074245,,,,ENSDARG00000053326
ENSDARG00000074723,,,,ENSDARG00000053454
ENSDARG00000074905,,,,ENSDARG00000053665
ENSDARG00000075230,,,,ENSDARG00000053771
ENSDARG00000075928,,,,ENSDARG00000053804
ENSDARG00000076041,,,,ENSDARG00000054003
ENSDARG00000076292,,,,ENSDARG00000054253
ENSDARG00000076830,,,,ENSDARG00000054690
ENSDARG00000076856,,,,ENSDARG00000054771
ENSDARG00000076991,,,,ENSDARG00000054941
ENSDARG00000078227,,,,ENSDARG00000055133
ENSDARG00000078327,,,,ENSDARG00000055154
ENSDARG00000078567,,,,ENSDARG00000057903
ENSDARG00000079064,,,,ENSDARG00000058248
ENSDARG00000079491,,,,ENSDARG00000058259
ENSDARG00000079741,,,,ENSDARG00000058565
ENSDARG00000079878,,,,ENSDARG00000058606
ENSDARG00000086826,,,,ENSDARG00000058702
ENSDARG00000089507,,,,ENSDARG00000058771
ENSDARG00000089697,,,,ENSDARG00000059090
ENSDARG00000089936,,,,ENSDARG00000060085
ENSDARG00000091116,,,,ENSDARG00000060095
ENSDARG00000091130,,,,ENSDARG00000060148
ENSDARG00000091715,,,,ENSDARG00000060309
ENSDARG00000097491,,,,ENSDARG00000060372
ENSDARG00000098315,,,,ENSDARG00000060551
ENSDARG00000098511,,,,ENSDARG00000060597
ENSDARG00000098605,,,,ENSDARG00000060865
ENSDARG00000098746,,,,ENSDARG00000061021
ENSDARG00000098857,,,,ENSDARG00000061248
ENSDARG00000099024,,,,ENSDARG00000061265
ENSDARG00000099096,,,,ENSDARG00000061268
ENSDARG00000099199,,,,ENSDARG00000061368
ENSDARG00000099364,,,,ENSDARG00000061481
ENSDARG00000099437,,,,ENSDARG00000061635
ENSDARG00000099702,,,,ENSDARG00000061660
ENSDARG00000100592,,,,ENSDARG00000061699
ENSDARG00000101195,,,,ENSDARG00000061896
ENSDARG00000101364,,,,ENSDARG00000061992
ENSDARG00000101687,,,,ENSDARG00000062248
