Gene,Retene_Rep1,Retene_Rep2,Retene_Rep3,Retene_Rep4,Control1_Rep1,Control1_Rep2,Control1_Rep3,Control1_Rep4
ENSDARG00000104770.1,7.235636304,7.323624103,7.34281693,7.232908845,7.334667177,7.559174684,7.146071405,7.23342848
ENSDARG00000086393.3,10.11645648,10.33963137,10.23781045,10.06887028,10.48214262,10.22938879,10.65791239,10.26527522
ENSDARG00000109164.1,6.681518969,6.532791877,6.843404446,6.80308597,7.070051677,6.998602243,6.951099298,7.130000172
ENSDARG00000100969.1,8.661434536,8.541392756,8.122460061,8.014088697,7.9292252,7.880518598,7.398531672,7.88733832
ENSDARG00000058791.7,6.914159018,6.696712405,6.747986485,6.831150346,6.819156468,6.684118973,6.706366022,6.219712612
ENSDARG00000009121.7,6.610483016,6.891289031,6.821045746,6.708784654,6.342918232,6.219712612,6.404397489,6.219712612
ENSDARG00000090496.4,6.84679087,6.816134549,6.692737643,7.200922638,7.008555378,6.998602243,6.973117673,7.092409368
ENSDARG00000044002.6,7.909153222,8.196639964,7.991858657,7.800701106,8.149516343,8.461565416,8.373551636,8.419541022
ENSDARG00000104758.1,7.887030692,7.755862395,7.880365926,7.549596928,7.340824727,7.241176266,7.709831633,7.35472893
ENSDARG00000088067.4,6.647520759,6.219712612,6.219712612,6.708784654,6.219712612,6.745659104,6.631562681,6.596459811
ENSDARG00000096596.1,6.647520759,6.729319182,6.554937416,6.219712612,6.843266473,6.612688414,6.800212374,6.680483164
ENSDARG00000087562.3,8.079234354,7.849783029,8.353596742,7.764132121,8.066704857,7.785959278,7.991046538,7.895949448
ENSDARG00000099979.2,8.159183478,8.347862016,8.635987301,8.382706811,8.425963516,8.618735119,8.496472899,8.295100469
ENSDARG00000019392.9,8.446186947,8.208928437,8.47473239,8.599827523,8.119482652,8.244229506,8.028398753,8.025921771
ENSDARG00000088493.3,8.803816659,8.783499225,8.793540503,8.748681132,8.8208771,8.73241943,8.742772286,8.367659024
ENSDARG00000104888.1,6.647520759,6.62337179,6.510188452,6.672812111,6.588437412,6.850296238,6.928337626,6.596459811
ENSDARG00000094374.4,6.610483016,6.867269039,6.219712612,6.405322839,6.545093041,6.850296238,6.219712612,6.943733381
ENSDARG00000062949.5,7.909153222,8.010614449,8.182954924,8.072811413,7.848412137,8.002729011,7.960315512,8.17111938
