Gene,Retene_Rep1,Retene_Rep2,Retene_Rep3,Retene_Rep4,Control1_Rep1,Control1_Rep2,Control1_Rep3,Control1_Rep4
ENSDARG00000103886.1,6.914159018,6.532791877,6.721153906,6.773520828,7.035538607,6.219712612,6.739619213,6.966968687
ENSDARG00000100556.1,6.822548544,6.914422183,6.62981952,6.773520828,6.877679644,6.873707611,6.539161672,6.966968687
ENSDARG00000086849.2,7.887030692,7.981594143,8.004322249,7.754804032,7.60332328,7.709556801,7.828821175,7.409942015
ENSDARG00000099356.1,7.457542291,7.816506955,7.271896867,7.248471738,7.388695016,7.486052817,7.629802391,7.615656024
ENSDARG00000102907.1,7.302748958,7.20862333,7.365305083,7.167690351,7.328468836,7.308623379,7.196203391,7.23342848
ENSDARG00000089852.5,7.012973337,6.661613352,6.843404446,6.831150346,6.819156468,6.773772799,6.706366022,6.71705336
ENSDARG00000098677.1,6.681518969,6.914422183,6.554937416,6.883530134,6.831337315,6.873707611,6.706366022,6.219712612
ENSDARG00000063731.6,7.849213016,7.682335891,7.934127657,7.467306068,8.011571468,8.132381273,7.944651531,8.361765013
ENSDARG00000077559.3,9.657928948,9.963687152,9.746573026,9.539978842,9.70614766,9.669532461,9.542588039,9.820992912
ENSDARG00000060085.5,7.856874557,7.824915636,7.859558714,8.31346021,7.950344621,8.186595591,7.793509211,8.093365722
ENSDARG00000060103.6,8.479153295,8.171699525,8.444384024,8.604588535,8.359680884,8.393071839,8.180527052,8.157336087
ENSDARG00000103767.1,7.116072287,7.075681577,7.480454656,7.538234726,7.340824727,7.818341247,7.243541559,7.368832692
ENSDARG00000094874.1,8.110592765,7.841552676,8.276110579,7.503383252,8.170120617,8.168782117,8.099859345,7.869925481
ENSDARG00000003209.8,6.219712612,6.219712612,6.554937416,6.672812111,6.219712612,6.219712612,6.219712612,6.219712612
ENSDARG00000099269.1,8.116770767,8.177980905,7.998106412,7.782562466,8.128568613,8.002729011,8.39577309,7.938093733
ENSDARG00000095051.1,7.340764659,7.323624103,6.944322344,6.773520828,7.346942172,7.183235121,7.196203391,6.219712612
ENSDARG00000098334.1,7.423951822,7.682335891,7.429774423,7.754804032,7.753364766,7.121003317,7.372191568,7.23342848
ENSDARG00000074524.4,8.027346633,7.790907686,8.099717199,8.135706233,7.855991914,8.094890735,7.960315512,7.921414305
ENSDARG00000079769.5,6.219712612,6.532791877,6.219712612,6.482024712,6.393898805,6.395891062,6.58833111,6.546215898
ENSDARG00000087247.3,7.302748958,7.238798128,7.669803133,7.549596928,7.353020177,7.636964308,7.385451544,7.658733311
ENSDARG00000055506.5,6.467309736,6.729319182,6.721153906,6.857912417,6.494875219,6.800464485,6.539161672,6.680483164
ENSDARG00000078190.2,9.872711853,9.466227827,9.795316083,9.384176284,9.725894446,9.791385747,9.425551938,9.415163347
ENSDARG00000104670.1,7.066269525,7.310024432,7.095138067,7.039293963,6.645096499,6.998602243,6.706366022,6.782858508
ENSDARG00000106588.1,7.162940222,6.979298833,7.319777724,7.278801409,7.150151368,7.01736679,7.520632057,7.183303143
ENSDARG00000100182.2,6.569440766,6.759885668,6.510188452,6.672812111,6.627108659,6.745659104,6.670568393,6.751021252
ENSDARG00000056910.5,7.693035959,7.874132832,7.387274827,7.582965212,7.640512513,7.453042609,7.793509211,7.834305829
ENSDARG00000075108.3,9.469558535,9.414414736,9.084881835,9.143159423,9.019771656,8.840908332,9.076582417,9.295430959
ENSDARG00000100873.1,9.298878702,9.424431842,9.127985899,9.376050962,9.580487523,9.122841161,8.96203885,9.481880084
ENSDARG00000075928.5,8.033953535,7.701175201,8.116813091,8.227680459,8.362196752,8.293966807,8.292642445,8.257232561
ENSDARG00000098699.1,7.048924933,6.219712612,6.692737643,6.742199673,6.920772019,6.219712612,6.880273019,6.782858508
ENSDARG00000104659.1,7.423951822,7.737926636,7.718325395,7.336580688,7.564798552,7.418905913,7.196203391,7.523928302
ENSDARG00000099710.1,9.671734102,9.35539087,9.057246693,8.983575043,9.700454916,9.12869297,8.864579928,9.452912788
ENSDARG00000075733.5,10.56531368,10.25170746,10.34180447,10.08379769,10.1506797,10.09580529,9.949141971,9.950373024
ENSDARG00000077171.4,6.467309736,6.400705188,6.662432489,6.405322839,6.393898805,6.918027383,6.670568393,6.751021252
ENSDARG00000002193.9,7.235636304,6.816134549,7.031922095,7.308144609,7.283876385,7.121003317,7.146071405,7.072915748
ENSDARG00000091477.3,7.666273234,7.755862395,7.259520296,7.70697317,7.477904876,7.255077977,7.509063804,7.604613621
ENSDARG00000055672.7,8.040525047,7.988914437,8.281092172,8.240291819,8.008249765,8.204161787,8.013594769,8.257232561
ENSDARG00000096012.2,6.84679087,7.038630328,7.284105221,6.954691716,6.920772019,6.773772799,7.461436474,6.812908824
ENSDARG00000033227.8,9.262630713,9.152724292,9.269150352,9.08418908,8.845621279,8.893815991,9.141664004,9.171034164
ENSDARG00000037813.4,8.165127204,8.159042149,8.408821008,8.388314469,8.384623633,8.255450114,8.406743763,8.282601371
ENSDARG00000092552.1,6.892504611,6.729319182,6.692737643,7.039293963,6.899592223,6.850296238,6.854776942,6.868629558
ENSDARG00000045956.7,7.400905912,7.518558857,7.68621387,7.764132121,7.55494455,7.598775699,7.179824583,7.409942015
ENSDARG00000055683.5,6.647520759,6.532791877,6.721153906,6.857912417,6.219712612,6.873707611,6.631562681,6.868629558
ENSDARG00000100818.1,7.083227607,6.914422183,6.944322344,6.883530134,6.465899927,6.219712612,6.219712612,6.408487223
ENSDARG00000099533.1,7.986936921,7.849783029,8.182954924,8.108144206,7.789933099,8.126210481,8.193483008,8.093365722
ENSDARG00000052700.5,9.296320408,9.12827893,9.202866708,9.376050962,9.069792088,9.283310927,9.383385875,9.353719554
ENSDARG00000017444.10,7.562101697,7.238798128,7.519248284,7.404135583,7.564798552,7.212693081,7.163119881,7.011222723
ENSDARG00000090617.3,8.70927049,8.5271036,8.702670995,8.794873286,8.782899516,8.927987995,8.717046193,8.90672595
ENSDARG00000091669.2,8.020703905,8.100449434,7.831228598,8.128872467,8.11643926,8.156765202,8.373551636,7.929783091
ENSDARG00000017034.12,9.409430645,9.478288718,9.502770136,9.568704316,8.903916793,8.904157063,8.951139417,8.698833355
ENSDARG00000094901.3,8.994513048,8.911871254,9.114658795,9.300728906,8.454380004,8.941422677,8.776332869,8.647444294
ENSDARG00000088375.2,7.435275332,7.161264449,7.34281693,7.248471738,7.328468836,6.918027383,7.532072388,7.183303143
ENSDARG00000061687.6,7.777887164,7.833263873,7.972920066,8.029034701,8.028045858,8.016326098,7.640131009,7.878664027
ENSDARG00000043735.7,7.562101697,7.253503834,7.259520296,7.454988768,7.334667177,7.395472295,7.520632057,7.111427474
ENSDARG00000102860.1,6.219712612,6.580990472,6.219712612,6.482024712,6.219712612,6.395891062,6.770789282,6.408487223
ENSDARG00000075600.4,8.372631129,8.215028374,8.166742579,8.382706811,8.815516,8.819159354,9.083229376,8.70797039
ENSDARG00000062687.6,8.7705322,8.502941548,8.891377973,8.798995925,8.664155841,8.774593691,8.618293696,8.608799151
ENSDARG00000038378.7,8.590620342,8.478330976,8.329877047,8.162675156,8.254814376,8.58874796,8.444434159,8.474879728
ENSDARG00000041394.5,9.442125473,9.439325244,9.352917253,9.356907339,9.326095837,9.111063214,9.042861622,9.289466723
ENSDARG00000070299.4,6.569440766,6.219712612,6.219712612,6.976813512,6.588437412,6.715881313,6.219712612,6.71705336
ENSDARG00000095511.2,7.031168825,6.696712405,7.064187828,6.831150346,6.888731993,6.612688414,7.092657199,6.596459811
ENSDARG00000070050.4,10.20824973,10.09562123,10.29366786,9.945296708,10.25686535,10.50459068,9.943746504,10.09292926
ENSDARG00000104381.1,9.032156206,8.9889675,9.427694173,9.110707153,8.435504049,8.684864576,8.85287637,8.507002639
ENSDARG00000038392.7,6.219712612,6.62337179,6.219712612,6.219712612,6.662333803,6.219712612,6.480718748,6.546215898
ENSDARG00000101665.1,7.810131592,7.144861169,6.980685894,7.625890228,7.86727049,7.646304838,7.054911128,7.511877003
ENSDARG00000100743.1,7.620165451,7.473295521,7.900812659,7.677261855,7.732529104,7.418905913,7.72896872,7.593456473
ENSDARG00000098083.2,7.423951822,7.529569998,7.547415669,7.3224715,7.467180865,7.430415996,8.42841339,7.86112156
ENSDARG00000104112.1,7.289720507,7.350242071,7.110163359,7.184470312,7.157738897,7.29553043,6.800212374,7.462201535
ENSDARG00000103436.1,7.92367613,7.882138704,7.583832618,8.029034701,7.889508537,8.198333392,8.099859345,8.143400177
ENSDARG00000016479.8,6.870076341,6.936754662,6.62981952,6.976813512,6.432981617,6.219712612,6.219712612,6.219712612
